sentence,label,clean_text,sentiment
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,1,oxyview pulse oximeter common device check patient blood oxygen saturation level pulse rate,Neutral
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,1,plant would use palm oil certified roundtable sustainable palm oil rspo,Neutral
"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 .",1,port operator however favor retaining port fee citing owner governemtn estonia commiting port pay eek mn eur mn usd mn dividend state another eek mn,Neutral
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,2,price log clearly improved also price pulpwood gone,Positive
The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,1,product front edge folding maximizes weather resilience enables seamless roof finish,Neutral
"The program included operational improvements and reductions in personnel , mainly in the Netherlands .",1,program included operational improvement reduction personnel mainly netherlands,Neutral
The project is expected to be completed in 2009 .,1,project expected completed,Neutral
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",1,reason st petersburg status capital one participant meeting quoted chikunov saying,Neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",1,report go provide detailed profile ten leading european specialty chemical company brief profile major player,Neutral
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",1,report profile company including many key niche player worldwide black decker corporation fiskars corporation fiskars brand inc husqvarna outdoor product inc k group ryobi technology inc scott miracle gro company van group inc,Neutral
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",1,report profile company including many key niche player worldwide black decker corporation fiskars corporation fiskars brand inc husqvarna outdoor product inc k group ryobi technology inc scott miracle gro company van group inc,Neutral
"The Russian government will contribute 20 % of the necessary funds , he said .",1,russian government contribute necessary fund said,Neutral
"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",1,sale allow campofrio focus recently announced takeover groupe smithfield holding european unit smithfield food inc sfd u,Neutral
"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants .",1,scope project find cost efficient method phosphorous removal deliver storing dosing equipment used continuous operation plant,Neutral
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,1,server responsible managing device user account desktop client application enables remote access mobile phone,Neutral
The service developed by Digia facilitates the work and resourcing of health care personnel during vaccination campaigns while providing them with monitoring and management tools .,1,service developed digia facilitates work resourcing health care personnel vaccination campaign providing monitoring management tool,Neutral
The share of the share capital of both above mentioned shareholders remains below 5 % .,1,share share capital mentioned shareholder remains,Neutral
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,1,share carry right dividend shareholder right registration finnish trade register,Neutral
"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",1,share shall repurchased public trading reason share repurchased otherwise proportion holding shareholder,Neutral
The shipyard hopes the regional government in Andalusia can offer its some form of financial support .,1,shipyard hope regional government andalusia offer form financial support,Neutral
The shopping center will have a prime location right next to the Myllypuro metro station .,2,shopping center prime location right next myllypuro metro station,Positive
The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,2,solution used upgrading network russian mso different city russia,Positive
"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing .",1,stonegate product family designed provide full benefit unified management system including shared logging reporting auditing,Neutral
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,1,subsidiary setting facility manufacturing high density interconnection printed circuit board pcbs nokia special economic zone sriperumbudur near chennai,Neutral
"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",1,subsidiary responsible filter sale local assembly filter market service china,Neutral
"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment .",1,total number share company innofactor group innofactor offer customer comprehensive solution microsoft environment,Neutral
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,1,total value project valued sek bn eur bn usd bn,Neutral
The trade is in accordance with the agreement announced on 26 March 2008 .,1,trade accordance agreement announced march,Neutral
The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .,2,training module aim strengthening public accounting ability fulfilling communal project management,Positive
The transaction is expected to be completed next spring .,1,transaction expected completed next spring,Neutral
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,1,truck feature eco drive system fuel measuring tool store data particular individual driver,Neutral
The veneer and plywood industry in Sweden is quite small despite the raw material resources .,1,veneer plywood industry sweden quite small despite raw material resource,Neutral
The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,1,writing publication lemmink inen history continuation earlier collaboration antti tuuri company,Neutral
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",1,product include personal communication product mobile phone part home communication product set top box electronics flat panel tv well communication network product base station tower top amplifier microwave system,Neutral
"They re in a race with Google to get lots of users onto their service as social networking creates new business models , said Martin Garner , a London-based analyst with CCS Insight .",1,race google get lot user onto service social networking creates new business model said martin garner london based analyst cc insight,Neutral
This beauty is an updated version of her chichi loop shade launched in 2001 .,1,beauty updated version chichi loop shade launched,Neutral
Through this transaction we are able to participate in developing the industry .,2,transaction able participate developing industry,Positive
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",1,thus group balance sheet eur goodwill company added,Neutral
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",1,check make bid deka showroom fortitude valley,Neutral
Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .,1,tracker g gps collar hunting dog allowing monitor dog position movement map application mobile phone,Neutral
Ulefos Group is the leading supplier of manhole covers in the Nordic countries .,1,ulefos group leading supplier manhole cover nordic country,Neutral
"Upgrades include a five megapixel camera , voice control , and what looks to be an optical mouse instead a D-pad -- an upgrade click-happy S60 has needed forever .",2,upgrade include five megapixel camera voice control look optical mouse instead pad upgrade click happy needed forever,Positive
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,2,upm kymmene one world leading printing paper producer production country sale network covering company,Positive
Uponor has initiated actions to attempt to recover the cost of the replacement program from the supplier of the clamps as well as its insurance company .,1,uponor initiated action attempt recover cost replacement program supplier clamp well insurance company,Neutral
Uponor maintains its full-year guidance for 2010 .,1,uponor maintains full year guidance,Neutral
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",1,utah capital wanted next u headquarters amer sport corp ski equipment company,Neutral
"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1,vaisala oyj stock exchange release klo annual general meeting vaisala oyj decided march approve company annual account,Neutral
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1,pleased invite join real international conference call p eet,Neutral
"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",2,warmly welcome satama state jussi lansio chairman board,Positive
Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,1,veracel preparing appeal issue asked court clarification judgement,Neutral
What would you like to see changed on Nokia 's next attempt ?,1,would like see changed nokia next attempt,Neutral
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",1,completed meter watchtower highest building ireland,Neutral
"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",1,viking pay eur million new ship completed january,Neutral
"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",1,basware connectivity service company gain visibility audit trail traced order good delivery invoice,Neutral
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",1,www countryelements co uk designed patricia burt one selection distinctive hooked rug created recycled material dyed natural dye,Neutral
You are warmly welcome !,1,warmly welcome,Neutral
Approval by shareholders of Cencorp in accordance with Finnish law .,1,approval shareholder cencorp accordance finnish law,Neutral
"Tikkurila has an interesting growth strategy , which we support .",1,tikkurila interesting growth strategy support,Neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,1,assa abloy kaupthing bank gave neutral recommendation share price target crown euro swedish lock maker assa abloy ab,Neutral
"` Ruukki has experience of logistics construction , competence in project management and also has the best references in terms of steel frame production and installation , ' says Onodi Stefan , General Manager of Arxikon Construction Company SRL , which is Ruukki 's customer .",2,ruukki experience logistics construction competence project management also best reference term steel frame production installation say onodi stefan general manager arxikon construction company srl ruukki customer,Positive
` The investment in Matka-Vekka has been reasonable for investors in CapMan funds . ',1,investment matka vekka reasonable investor capman fund,Neutral
"`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a variety of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .",1,part eseries business promise nokia e equipped variety email solution small stylised package said dave grannan general manager enterprise solution nokia,Neutral
"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",1,defence mature attacker develop trojan equipped content filter detect online banking activity capturing account detail using method form grabbing screen shot video capture keylogging injection form field,Neutral
`` I warmly welcome Michael Frei to Outotec .,2,warmly welcome michael frei outotec,Positive
`` Nokia is just interested in bring Nokia to the market . '',1,nokia interested bring nokia market,Neutral
`` Our aim is to understand different traffic patterns based on the use of each building .,1,aim understand different traffic pattern based use building,Neutral
`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .,1,approach much use raw material produced line principle sustainable development,Neutral
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,1,vaalipalvelu service especially developed use community organization,Neutral
`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . '',1,rapala excited partnering rbff industry leader holiday promotion,Neutral
`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .,1,small well targeted acquisition played important role executing satama strategy past couple year,Neutral
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,1,social networking location based service trend comprise significant share internet traffic today appealing mid user,Neutral
"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .",2,acquisition sampo bank make strategic sense db say lindsey liddell director fitch rating financial institution group,Positive
"`` The bond gathered subscriptions from some 400 investors and the issued amount can be considered substantial taking into account the main target group -- retail investors , '' Citycon CFO Eero Sihvonen said .",1,bond gathered subscription investor issued amount considered substantial taking account main target group retail investor citycon cfo eero sihvonen said,Neutral
`` The CHF is a great product .,2,chf great product,Positive
`` The flex is a small price to pay for happy lenders . '',1,flex small price pay happy lender,Neutral
"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote .",1,industry coming interesting fork road handset manufacturer wireless carrier attempt serve portal web based service wireless handset wrote,Neutral
"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2,intel atom processor tremendous success marketplace since launch year ago said pankaj kedia director global ecosystem program intel corp ultra mobility group,Positive
"`` Tom Doring has a long and successful career in the drives business , and he knows the American market .",1,tom doring long successful career drive business know american market,Neutral
"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience .",2,significant experience smartphone functionality development mobile internet service uniting two smooth user experience,Positive
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,1,new version important u introduce bim process based detailed building information model,Neutral
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,1,dinner conference program also viewed live audio webcast internet page www citycon com,Neutral
"3G data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple SIM ownership .",1,g data subscriber also helping maintain growth level since data subscription push multiple sim ownership,Neutral
6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,1,october finnish paint coating company tikkurila oyj hel tik v announced today launch tikkurila prohouse method protection wooden surface via treatment ultra pro waterborne product,Neutral
A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,1,cut bring outdoors birch branch coaster,Neutral
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",1,downloadable instruction sheet instructional video project idea award winning everywhere punch tm window system found www fiskars com,Neutral
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,2,new kveyt light variety suomalainen pekoni marketed atrium brand name available consumer finland,Positive
A PLUMBING business has announced it is sponsoring a professional darts player .,1,plumbing business announced sponsoring professional dart player,Neutral
A realignment of interests in the sector is clearly under way .,2,realignment interest sector clearly way,Positive
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",1,le coq special developed bicentenary company trade mark brewer said,Neutral
Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,1,estimation indicate even different tablet computer reading device available,Neutral
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",2,finnish construction company yit corporation planning build high quality holiday home near tahko ski spa resort finland,Positive
"After piloting , the instrument will be further developed according to the experiences gained .",1,piloting instrument developed according experience gained,Neutral
"And when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art .",1,lifted veil various type customer design phone result social stereotyping taken fine art,Neutral
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,1,another noticeable thing search tata airtel brand mostly related broadband connection,Neutral
As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,1,overall effect mentioned measure glaston recognize non recurring expense eur million fourth quarter,Neutral
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,1,aspo also investigated sale opportunity kaukomarkkinat electronics business,Neutral
"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",2,press conference lattelecom board chairman nil melngailis explained blackstone chosen experience sector well financial strength,Positive
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",1,beginning subscription period may share subscription price b option right eur per share,Neutral
"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila .",1,back tikkurila former owner finnish chemical company kemira oyj hel kra v distributed stake kemira shareholder facilitate divestment listing tikkurila,Neutral
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",1,based negotiation personnel indicated willingness move new location,Neutral
BG Crane has a strong customer base in the on-road load handling and related installation and service businesses .,1,bg crane strong customer base road load handling related installation service business,Neutral
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,1,mr walden mr ignatius responsible also newspaper business result,Neutral
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,1,capitex kalmar continue responsible maintenance technical development service,Neutral
"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets .",1,cathay forest strategy develop sustainable regenerative forest asset,Neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,1,change built model design communicated subcontractor accommodate steel grc glass reinforced concrete fabrication process,Neutral
"Chargers manufactured under the new platform are suitable for mobile phones , navigators , digital cameras , Bluetooth head sets , media players and other electronic devices .",1,charger manufactured new platform suitable mobile phone navigator digital camera bluetooth head set medium player electronic device,Neutral
"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy .",2,com constantly planning new way serve customer online comprehensive basis say matti leminen president anttila oy,Positive
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",1,currently yit build housing estate zapadnye vorota square metre city house square metre completed end,Neutral
Customers in a wide range of industries use our stainless steel and services worldwide .,1,customer wide range industry use stainless steel service worldwide,Neutral
Delivery will start immediately in June 2008 and will be completed in 2008 .,1,delivery start immediately june completed,Neutral
"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .",1,demonstration broad capability mobility business suite organized gsm world congress barcelona february th th,Neutral
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,1,option right entitles holder subscribe one new share subscription price eur subscription period end december,Neutral
Elisa will expand the use of this technology provided the pilot proves successful .,1,elisa expand use technology provided pilot prof successful,Neutral
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",1,elite residence tower new development tameer located heart dubai marina,Neutral
Europe needs 17 new large paper machines .,1,europe need new large paper machine,Neutral
Exel wants to serve its industrial customers with individual products .,1,exel want serve industrial customer individual product,Neutral
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",1,finnish bank pohjola bank plc hel poh said today issue eur million usd index linked bond pohjola tutkimuksen tahdet viii pohjola research star viii october,Neutral
"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab .",1,finnish diversified holding company aspo oyj said september sell finnish tape business kaukomarkkinat unit local oy telpak ab,Neutral
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",2,finnish retailer stockmann approval board swedish rival lindex public tender offer aim expanding company presence russia cee country stockmann said monday,Positive
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",0,finnish software hardware developer elektrobit oyj hel ebg v eb said today temporarily lay people maximum day finland aiming achieve cost saving eur million usd second half,Negative
"Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway .",1,following impact altima hit utility pole causing live electric line fall onto roadway,Neutral
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,1,merisatama far corner world asfaltti osakeyhti lemmink inen established group master builder helsinki specialist business subcontractor,Neutral
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",1,f secure developer security solution service internet service provider mobile operator announced result annual online wellbeing survey,Neutral
"Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations .",1,concrete cooperation also carried various project doctoral thesis diploma dissertation,Neutral
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",1,furthermore company sell warehouse office building loudeac saint marcel lease new joint premise operation morvillars,Neutral
"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",2,handelsbanken ranked local cooperative bank aktia customer loyalty time however,Positive
He is resting comfortably and is looking forward to getting back to work . '',1,resting comfortably looking forward getting back work,Neutral
"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",1,employee leaf company within duration cover money invested ensure commitment returned company,Neutral
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",1,kemira recorded revenue approximately eur billion staff,Neutral
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",1,accordance term condition alma medium option program share subscription price option right eur per share book countervalue eur per share,Neutral
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",1,addition supplying new headbox modern sizing coating unit vaahto group provide erection supervision training start service,Neutral
"In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance .",1,finland martela offer comprehensive service cover entire process change initial inventory design removal maintenance,Neutral
"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",1,finland corresponding service alma medium etuovi com finland popular best known nationwide online service home property sale,Neutral
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",1,penttil vision important reason transaction russia,Neutral
"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said .",2,recent month capman taken significant step simplify operation ceo lennart simonsen said,Positive
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",1,stead based soft drink usual teho energy drink made fresh water,Neutral
"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",1,baltic merger business two expected completed early,Neutral
"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",1,next year ict sector share electricity consumption raised increase popularity smartphones,Neutral
"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",1,video marimekko design manager noora niiininoski explains brand natural fit timeless style,Neutral
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,1,also confirmed earnings guidance whole issued report whole,Neutral
"It also has strong assets in electronic media , employing 18,500 an increase of 9 percent on last year .",2,also strong asset electronic medium employing increase percent last year,Positive
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,1,hand painted resin real treble cm long cm deep top bottom middle hook,Neutral
"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",1,part development world class magnetite deposit karara known potential million metric ton annual processing magnetite estimated year life,Neutral
"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",1,last smartphone running maemo replaced meego joint project nokia intel open source community,Neutral
"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",1,make wide range mobile device service software enable people experience music navigation video television imaging game business mobility,Neutral
It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .,1,offer advanced machinery maintenance process development service pulp paper industry northern china,Neutral
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",1,operates three distinct brand united supermarket market street united supermercado,Neutral
"It s an area that is highly valued , because most of the land there has already been built on .",1,area highly valued land already built,Neutral
"Kaido Kaare , general director for Atria Eesti , says the company 's investments in the upgrade of the pig farms surpass EEK 150mn EUR 9.59 mn USD 14.19 mn in the past years .",2,kaido kaare general director atrium eesti say company investment upgrade pig farm surpass eek mn eur mn usd mn past year,Positive
"Kaukopartio Oy has acquired specialized knowledge in Far Eastern operations , and industrial sourcing services are their core competence .",1,kaukopartio oy acquired specialized knowledge far eastern operation industrial sourcing service core competence,Neutral
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,1,kaupthing bank publish annual result market open thursday january,Neutral
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",1,london afx uk european broker recommendation issued today collated afx news range market source,Neutral
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",1,london icis tikkurila completed sale powder coating business finnish industrial coating firm teknos group finland based decorative paint company said wednesday,Neutral
The fine print is here .,1,fine print,Neutral
M. and a Master of Business Administration MBA .,1,master business administration mba,Neutral
Martela is a front runner in providing innovative solutions and customer service Martela designs and supplies interior solutions for working environments and public spaces .,1,martela front runner providing innovative solution customer service martela design supply interior solution working environment public space,Neutral
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,1,special event three county four month hosted library system nine branch library,Neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,1,m laakso responsible hkscan hr function development group smarket area,Neutral
NetCom expects to complete Turbo 3G deployment in these areas this year .,1,netcom expects complete turbo g deployment area year,Neutral
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",1,new delhi july sahlberg teppo kallio timo mustonen tuomas real oyj espoo finland developed novel marking method producing,Neutral
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",1,nokia siemens network provides mobile fixed network infrastructure communication network service platform well professional service operator service provider,Neutral
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",2,nokia continue invest future development qt benefit user commercial lgpl,Positive
Nokian Tyres ' tyres are considered genuine winter tyres in Russia .,1,nokian tyre tyre considered genuine winter tyre russia,Neutral
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",1,share held company group company number outstanding share voting right attached share thus amount,Neutral
"On the other hand , Finnish sawmills ' production has decreased even more .",0,hand finnish sawmill production decreased even,Negative
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",2,one installed elevator double deck elevator enables efficient use building core space,Positive
"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",1,one opportunity would bring baltic meat processing rakvere like processing concentrated vantaa meat packing unit finland paper wrote,Neutral
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",1,outotec scope delivery cover engineering supply special equipment service calcination plant two circulating fluid bed calciners,Neutral
"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",1,outotec scope delivery includes design basic engineering supply proprietary equipment sinter plant grate area square meter,Neutral
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",1,participant book discussion special event visitor car dealership eligible enter drawing silver four door altima,Neutral
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,1,peigs www peigs se become part sardus latta maltider light meal unit,Neutral
Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .,1,pharmaceutical belgium brand new market analysis give clear overview actual situation future outlook pharmaceutical market belgium,Neutral
Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,1,pharmaceutical czech republic brand new market analysis give clear overview actual situation future outlook pharmaceutical market czech republic,Neutral
Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,1,pharmaceutical italy brand new market analysis give clear overview actual situation future outlook pharmaceutical market italy,Neutral
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,1,pharmaceutical netherlands brand new market analysis give clear overview actual situation future outlook pharmaceutical market netherlands,Neutral
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,1,pharmaceutical poland brand new market analysis give clear overview actual situation future outlook pharmaceutical market poland,Neutral
